"name","sku","memory_capacity","memory_speed","dram_module_brand"
"Nanya 512MB SDRAM SD RAM PC 133S Lodimm Desktop Memory 168pin","osst-20110119055584","512MB","","Nanya"
"Nanya DDR1 256MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055585","256MB","","Nanya"
"Nanya DDR1 512MB PC 2100S 266MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055587","512MB","","Nanya"
"Nanya DDR1 512MB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055588","512MB","","Nanya"
"Nanya DDR1 1GB PC 2700S 333MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055590","1GB","","Nanya"
"Nanya DDR1 256MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055592","256MB","","Nanya"
"Nanya DDR1 256MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055593","256MB","","Nanya"
"Nanya DDR1 512MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055594","512MB","","Nanya"
"Nanya DDR1 512MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055595","512MB","","Nanya"
"Nanya DDR1 1GB 1024MB PC 2100S 266MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055597","1GB","","Nanya"
"Nanya DDR1 1GB 1024MB PC 2700S 333MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055598","1GB","","Nanya"
"Nanya DDR1 1GB 1024MB PC 3200S 400MHz Lodimm Desktop Memory DRAM 184pin","osst-20110119055599","1GB","","Nanya"
"Nanya DDR2 512MB PC2-4200S 533MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055602","512MB","","Nanya"
"Nanya DDR2 512MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook","osst-20110119055603","512MB","","Nanya"
