name,price,qty,sku,condition,weight,memory_capacity,memory_card_brand,memory_speed
Micron DDR2 Server 1GB PC2-5300E 667MHZ  DRAM Memory Module ECC ,22,59,osst-20111103021750,New & Unused,99,1GB,Micron,PC2-5300 / 667MHZ
Micron DDR2 Server 1GB PC2-5300F 667MHZ  DRAM Memory Module FB Dimm FBD ,22,59,osst-20111103023318,New & Unused,99,1GB,Micron,PC2-5300 / 667MHZ
Micron DDR2 Server 1GB PC2-5300R 667MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111103022009,New & Unused,99,1GB,Micron,PC2-5300 / 667MHZ
Nanya DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110119055605,New & Unused,51,1GB,Nanya,PC2-5300 / 667MHz
Nanya DDR2 1GB 1024MB PC2-5300S 667MHz Sodimm Laptop Memory DRAM 200pin Notebook,15,59,osst-20110524030913,New & Unused,51,1GB,Nanya,PC2-5300 / 667MHz
Nanya DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110511035320,New & Unused,51,1GB,Nanya,PC2-5300 / 667MHz
Nanya DDR2 1GB PC2-5300S 667MHz Lodimm Desktop Memory DRAM 240pin,15,59,osst-20110524042401,New & Unused,51,1GB,Nanya,PC2-5300 / 667MHz
Nanya DDR2 Server 1GB PC2-5300E 667MHZ  DRAM Memory Module ECC ,22,59,osst-20111031030407,New & Unused,99,1GB,Nanya,PC2-5300 / 667MHz
Nanya DDR2 Server 1GB PC2-5300F 667MHZ  DRAM Memory Module FB Dimm FBD ,22,59,osst-20111031021523,New & Unused,99,1GB,Nanya,PC2-5300 / 667MHz
Nanya DDR2 Server 1GB PC2-5300R 667MHZ  DRAM Memory Module ECC REG ,22,59,osst-20111031030204,New & Unused,99,1GB,Nanya,PC2-5300 / 667MHz
